"Service","Glue($)","S3($)","Tax($)","Athena($)","CloudShell($)","Key Management Service($)","Lambda($)","Secrets Manager($)","SNS($)","CloudWatch($)","QuickSight($)","Total costs($)"
"Service total","1.03214144","0.1974048","0.09","0.01819","0","0","0","0","0","0","0","1.33773624"
"2025-06-01","","","","","","","","","","","","0"
"2025-06-02","","0","0.09","","","","","","","","","0.09"
"2025-06-03","0.05416884","0","","0.00059","0","0","0","0","0","0","","0.05475884"
"2025-06-04","0.9779726","0.1974048","","0.0176","0","","0","","","0","0","1.1929774"
"2025-06-05","0","","","","","","","","","","0","0"
